INFO 2024-07-07 05:33:45,404 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-07 05:33:45,407 autoreload Waiting for apps ready_event.
DEBUG 2024-07-07 05:33:46,064 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-07 05:33:46,100 autoreload Watching dir /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-07-07 05:33:46,106 autoreload Watching dir /home/amiyou/Desktop/mlcrypto/locale with glob **/*.mo.
DEBUG 2024-07-07 05:33:46,106 autoreload Watching dir /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/daphne/locale with glob **/*.mo.
DEBUG 2024-07-07 05:33:46,107 autoreload Watching dir /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/channels/locale with glob **/*.mo.
DEBUG 2024-07-07 05:33:46,107 autoreload Watching dir /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-07-07 05:33:46,108 autoreload Watching dir /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-07-07 05:33:46,109 autoreload Watching dir /home/amiyou/Desktop/mlcrypto/clthistoricaldata/locale with glob **/*.mo.
DEBUG 2024-07-07 05:33:46,110 autoreload Watching dir /home/amiyou/Desktop/mlcrypto/cltlivedata/locale with glob **/*.mo.
DEBUG 2024-07-07 05:33:46,190 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-07-07 05:33:46,195 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-07-07 05:33:46,198 runserver Daphne running, listening on 127.0.0.1:8000
DEBUG 2024-07-07 05:33:46,404 autoreload File /usr/lib/python3.11/encodings/aliases.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,404 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/urllib3/util/ssltransport.py first seen with mtime 1718996176.0282876
DEBUG 2024-07-07 05:33:46,405 autoreload File /home/amiyou/.vscode/extensions/ms-python.debugpy-2024.6.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_comm_constants.py first seen with mtime 1714821993.5584307
DEBUG 2024-07-07 05:33:46,405 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/talib/__init__.py first seen with mtime 1719342361.8824067
DEBUG 2024-07-07 05:33:46,405 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/views/i18n.py first seen with mtime 1718996181.3843336
DEBUG 2024-07-07 05:33:46,406 autoreload File /home/amiyou/.vscode/extensions/ms-python.debugpy-2024.6.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_comm.py first seen with mtime 1714821993.5584307
DEBUG 2024-07-07 05:33:46,406 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/numpy/core/_add_newdocs_scalars.py first seen with mtime 1718996177.2042975
DEBUG 2024-07-07 05:33:46,406 autoreload File /home/amiyou/.vscode/extensions/ms-python.debugpy-2024.6.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_daemon_thread.py first seen with mtime 1714821993.6184309
DEBUG 2024-07-07 05:33:46,406 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/io/formats/printing.py first seen with mtime 1718996189.952407
DEBUG 2024-07-07 05:33:46,407 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/twisted/logger/_flatten.py first seen with mtime 1718996186.4403768
DEBUG 2024-07-07 05:33:46,407 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/requests/status_codes.py first seen with mtime 1718996185.7883713
DEBUG 2024-07-07 05:33:46,407 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/postgres/lookups.py first seen with mtime 1718996181.216332
DEBUG 2024-07-07 05:33:46,408 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/array_algos/putmask.py first seen with mtime 1718996189.9804072
DEBUG 2024-07-07 05:33:46,408 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/numpy/fft/__init__.py first seen with mtime 1718996177.0682964
DEBUG 2024-07-07 05:33:46,408 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/attrs/setters.py first seen with mtime 1718996182.5923438
DEBUG 2024-07-07 05:33:46,409 autoreload File /usr/lib/python3.11/xml/parsers/__init__.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,409 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/internals/base.py first seen with mtime 1718996189.976407
DEBUG 2024-07-07 05:33:46,409 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/sqlparse/cli.py first seen with mtime 1718996017.4309125
DEBUG 2024-07-07 05:33:46,410 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/indexers/objects.py first seen with mtime 1718996189.9964073
DEBUG 2024-07-07 05:33:46,410 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/_numba/__init__.py first seen with mtime 1718996189.9924073
DEBUG 2024-07-07 05:33:46,410 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/admin/__init__.py first seen with mtime 1718996180.9203296
DEBUG 2024-07-07 05:33:46,411 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/db/models/__init__.py first seen with mtime 1718996181.3523333
DEBUG 2024-07-07 05:33:46,411 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/autobahn/wamp/types.py first seen with mtime 1718996194.2124434
DEBUG 2024-07-07 05:33:46,411 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/indexes/__init__.py first seen with mtime 1718996189.9804072
DEBUG 2024-07-07 05:33:46,411 autoreload File /usr/lib/python3.11/asyncio/runners.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,412 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/_libs/testing.cpython-311-x86_64-linux-gnu.so first seen with mtime 1718996190.1524086
DEBUG 2024-07-07 05:33:46,412 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/util/_validators.py first seen with mtime 1718996190.1524086
DEBUG 2024-07-07 05:33:46,412 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1718996181.3283331
DEBUG 2024-07-07 05:33:46,413 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/db/backends/utils.py first seen with mtime 1718996181.3403332
DEBUG 2024-07-07 05:33:46,413 autoreload File /usr/lib/python3.11/numbers.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,413 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1718996181.3283331
DEBUG 2024-07-07 05:33:46,413 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/requests/exceptions.py first seen with mtime 1718996185.7883713
DEBUG 2024-07-07 05:33:46,414 autoreload File /usr/lib/python3.11/lib-dynload/termios.cpython-311-x86_64-linux-gnu.so first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,414 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/attr/converters.py first seen with mtime 1718996182.5883439
DEBUG 2024-07-07 05:33:46,414 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/cryptography/hazmat/primitives/asymmetric/x25519.py first seen with mtime 1718996194.056442
DEBUG 2024-07-07 05:33:46,415 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/autobahn/_version.py first seen with mtime 1718996194.2004433
DEBUG 2024-07-07 05:33:46,415 autoreload File /usr/lib/python3.11/email/policy.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,415 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/numpy/lib/nanfunctions.py first seen with mtime 1718996177.0482962
DEBUG 2024-07-07 05:33:46,415 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/service_identity/exceptions.py first seen with mtime 1718996194.152443
DEBUG 2024-07-07 05:33:46,416 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/cryptography/utils.py first seen with mtime 1718996193.9964416
DEBUG 2024-07-07 05:33:46,416 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/urllib3/util/connection.py first seen with mtime 1718996176.0282876
DEBUG 2024-07-07 05:33:46,416 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/twisted/internet/threads.py first seen with mtime 1718996186.4283767
DEBUG 2024-07-07 05:33:46,417 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/_libs/reshape.cpython-311-x86_64-linux-gnu.so first seen with mtime 1718996190.2364094
DEBUG 2024-07-07 05:33:46,417 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pyasn1/__init__.py first seen with mtime 1718996176.904295
DEBUG 2024-07-07 05:33:46,417 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/apps/__init__.py first seen with mtime 1718996180.856329
DEBUG 2024-07-07 05:33:46,417 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/auth/signals.py first seen with mtime 1718996181.0483305
DEBUG 2024-07-07 05:33:46,418 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/numpy/polynomial/polynomial.py first seen with mtime 1718996177.1042967
DEBUG 2024-07-07 05:33:46,418 autoreload File /home/amiyou/Desktop/mlcrypto/clthistoricaldata/logical/fetchOHLCV.py first seen with mtime 1720330400.949558
DEBUG 2024-07-07 05:33:46,418 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/core/paginator.py first seen with mtime 1718996181.3283331
DEBUG 2024-07-07 05:33:46,419 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/template/defaultfilters.py first seen with mtime 1718996181.3723333
DEBUG 2024-07-07 05:33:46,419 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/plotting/__init__.py first seen with mtime 1718996189.944407
